"","1. open","2. high","3. low","4. close","5. adjusted close","6. volume","7. dividend amount","8. split coefficient"
"2002-07-01",254.86,254.86,254.86,254.86,254.86,0,0,1
"2002-07-02",247.7,247.7,247.7,247.7,247.7,0,0,1
"2002-07-03",240.75,240.75,240.75,240.75,240.75,0,0,1
"2002-07-04",245.5,245.5,245.5,245.5,245.5,0,0,1
"2002-07-05",254.82,254.82,254.82,254.82,254.82,0,0,1
"2002-07-08",253.72,253.72,253.72,253.72,253.72,0,0,1
"2002-07-09",250.77,250.77,250.77,250.77,250.77,0,0,1
"2002-07-10",243.36,243.36,243.36,243.36,243.36,0,0,1
"2002-07-11",235.02,235.02,235.02,235.02,235.02,0,0,1
"2002-07-12",234.86,234.86,234.86,234.86,234.86,0,0,1
"2002-07-15",223.04,223.04,223.04,223.04,223.04,0,0,1
"2002-07-16",222.61,222.61,222.61,222.61,222.61,0,0,1
"2002-07-17",229.84,229.84,229.84,229.84,229.84,0,0,1
"2002-07-18",233.16,233.16,233.16,233.16,233.16,0,0,1
"2002-07-19",222.54,222.54,222.54,222.54,222.54,0,0,1
"2002-07-22",212.63,212.63,212.63,212.63,212.63,0,0,1
"2002-07-23",208.8,208.8,208.8,208.8,208.8,0,0,1
"2002-07-24",205.39,205.39,205.39,205.39,205.39,0,0,1
"2002-07-25",212.94,212.94,212.94,212.94,212.94,0,0,1
"2002-07-26",215.1,215.1,215.1,215.1,215.1,0,0,1
"2002-07-29",227.24,227.24,227.24,227.24,227.24,0,0,1
"2002-07-30",226.1,226.1,226.1,226.1,226.1,0,0,1
"2002-07-31",227.63,227.63,227.63,227.63,227.63,0,0,1
"2002-08-01",218.16,218.16,218.16,218.16,218.16,0,0,1
"2002-08-02",217.82,217.82,217.82,217.82,217.82,0,0,1
"2002-08-05",211.38,211.38,211.38,211.38,211.38,0,0,1
"2002-08-06",219.85,219.85,219.85,219.85,219.85,0,0,1
"2002-08-07",217.33,217.33,217.33,217.33,217.33,0,0,1
"2002-08-08",225.53,225.53,225.53,225.53,225.53,0,0,1
"2002-08-09",228.56,228.56,228.56,228.56,228.56,0,0,1
"2002-08-12",223.46,223.46,223.46,223.46,223.46,0,0,1
"2002-08-13",225.66,225.66,225.66,225.66,225.66,0,0,1
"2002-08-14",220.52,220.52,220.52,220.52,220.52,0,0,1
"2002-08-15",226.97,226.97,226.97,226.97,226.97,0,0,1
"2002-08-16",227.94,227.94,227.94,227.94,227.94,0,0,1
"2002-08-19",234.31,234.31,234.31,234.31,234.31,0,0,1
"2002-08-20",231.01,231.01,231.01,231.01,231.01,0,0,1
"2002-08-21",233.13,233.13,233.13,233.13,233.13,0,0,1
"2002-08-22",237.64,237.64,237.64,237.64,237.64,0,0,1
"2002-08-23",234.58,234.58,234.58,234.58,234.58,0,0,1
"2002-08-26",232.79,232.79,232.79,232.79,232.79,0,0,1
"2002-08-27",236.86,236.86,236.86,236.86,236.86,0,0,1
"2002-08-28",228.35,228.35,228.35,228.35,228.35,0,0,1
"2002-08-29",224.55,224.55,224.55,224.55,224.55,0,0,1
"2002-08-30",226.82,226.82,226.82,226.82,226.82,0,0,1
"2002-09-02",222.75,222.75,222.75,222.75,222.75,0,0,1
"2002-09-03",213.87,213.87,213.87,213.87,213.87,0,0,1
"2002-09-04",215.12,215.12,215.12,215.12,215.12,0,0,1
"2002-09-05",213.75,213.75,213.75,213.75,213.75,0,0,1
"2002-09-06",220.22,220.22,220.22,220.22,220.22,0,0,1
"2002-09-09",217.4,217.4,217.4,217.4,217.4,0,0,1
"2002-09-10",222.93,222.93,222.93,222.93,222.93,0,0,1
"2002-09-11",226.99,226.99,226.99,226.99,226.99,0,0,1
"2002-09-12",219.11,219.11,219.11,219.11,219.11,0,0,1
"2002-09-13",215.08,215.08,215.08,215.08,215.08,0,0,1
"2002-09-16",214.83,214.83,214.83,214.83,214.83,0,0,1
"2002-09-17",213.12,213.12,213.12,213.12,213.12,0,0,1
"2002-09-18",205.48,205.48,205.48,205.48,205.48,0,0,1
"2002-09-19",201.58,201.58,201.58,201.58,201.58,0,0,1
"2002-09-20",202.26,202.26,202.26,202.26,202.26,0,0,1
"2002-09-23",195.39,195.39,195.39,195.39,195.39,0,0,1
"2002-09-24",192.33,192.33,192.33,192.33,192.33,0,0,1
"2002-09-25",195.43,195.43,195.43,195.43,195.43,0,0,1
"2002-09-26",204.01,204.01,204.01,204.01,204.01,0,0,1
"2002-09-27",204.19,204.19,204.19,204.19,204.19,0,0,1
"2002-09-30",194.76,194.76,194.76,194.76,194.76,0,0,1
"2002-10-01",197.54,197.54,197.54,197.54,197.54,0,0,1
"2002-10-02",203.1,203.1,203.1,203.1,203.1,0,0,1
"2002-10-03",200.32,200.32,200.32,200.32,200.32,0,0,1
"2002-10-04",196.44,196.44,196.44,196.44,196.44,0,0,1
"2002-10-07",193.75,193.75,193.75,193.75,193.75,0,0,1
"2002-10-08",190.84,190.84,190.84,190.84,190.84,0,0,1
"2002-10-09",189.34,189.34,189.34,189.34,189.34,0,0,1
"2002-10-10",193.44,193.44,193.44,193.44,193.44,0,0,1
"2002-10-11",202.72,202.72,202.72,202.72,202.72,0,0,1
"2002-10-14",200.76,200.76,200.76,200.76,200.76,0,0,1
"2002-10-15",212.41,212.41,212.41,212.41,212.41,0,0,1
"2002-10-16",209.3,209.3,209.3,209.3,209.3,0,0,1
"2002-10-17",216.17,216.17,216.17,216.17,216.17,0,0,1
"2002-10-18",215.06,215.06,215.06,215.06,215.06,0,0,1
"2002-10-21",215.31,215.31,215.31,215.31,215.31,0,0,1
"2002-10-22",213.36,213.36,213.36,213.36,213.36,0,0,1
"2002-10-23",207.22,207.22,207.22,207.22,207.22,0,0,1
"2002-10-24",212.33,212.33,212.33,212.33,212.33,0,0,1
"2002-10-25",211.07,211.07,211.07,211.07,211.07,0,0,1
"2002-10-28",213.56,213.56,213.56,213.56,213.56,0,0,1
"2002-10-29",205.14,205.14,205.14,205.14,205.14,0,0,1
"2002-10-30",210.09,210.09,210.09,210.09,210.09,0,0,1
"2002-10-31",213.01,213.01,213.01,213.01,213.01,0,0,1
"2002-11-01",210.47,210.47,210.47,210.47,210.47,0,0,1
"2002-11-04",217.63,217.63,217.63,217.63,217.63,0,0,1
"2002-11-05",218.39,218.39,218.39,218.39,218.39,0,0,1
"2002-11-06",216.18,216.18,216.18,216.18,216.18,0,0,1
"2002-11-07",212.21,212.21,212.21,212.21,212.21,0,0,1
"2002-11-08",209.88,209.88,209.88,209.88,209.88,0,0,1
"2002-11-11",208.55,208.55,208.55,208.55,208.55,0,0,1
"2002-11-12",211.32,211.32,211.32,211.32,211.32,0,0,1
"2002-11-13",209.65,209.65,209.65,209.65,209.65,0,0,1
"2002-11-14",213.49,213.49,213.49,213.49,213.49,0,0,1
"2002-11-15",214.59,214.59,214.59,214.59,214.59,0,0,1
"2002-11-18",216.72,216.72,216.72,216.72,216.72,0,0,1
"2002-11-19",215.58,215.58,215.58,215.58,215.58,0,0,1
"2002-11-20",215.17,215.17,215.17,215.17,215.17,0,0,1
"2002-11-21",221.84,221.84,221.84,221.84,221.84,0,0,1
"2002-11-22",222.3,222.3,222.3,222.3,222.3,0,0,1
"2002-11-25",220.85,220.85,220.85,220.85,220.85,0,0,1
"2002-11-26",216.26,216.26,216.26,216.26,216.26,0,0,1
"2002-11-27",221.42,221.42,221.42,221.42,221.42,0,0,1
